Category, Title, Price, Price Per Unit, Packsize, Image Link
pantry just-organic,Just Organic Dark Chocolate 100g ,$2.79,$2.79 per 100g,100g,https://www.aldi.com.au/fileadmin/_processed_/5/7/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_2_476e50ad91.jpg
pantry just-organic,Just Organic Yogurt Assorted Varieties 70g ,$0.99,$1.41 per 100g,70g,https://www.aldi.com.au/fileadmin/_processed_/b/0/csm_ALN2218_Q2_Just_Organic_Yogurt_Assorted_Varieties_70g_1x1_228x128_a9b6197036.jpg
pantry just-organic,Just Organic Yogurt Assorted Varieties 140g ,$1.49,$1.06 per 100g,140g,https://www.aldi.com.au/fileadmin/_processed_/7/6/csm_ALN2218_Q2_Just_Organic_Yogurt_Assorted_Varieties_140g_1x1_228x128_01_5fe60a22d4.jpg
pantry just-organic, Just Organic Extra Virgin Olive Oil 500ml  ,$4.69,94c per 100ml,500ml,https://www.aldi.com.au/fileadmin/_processed_/2/5/csm_ALN2218_Q2_Just_Organic_Extra_Virgin_Olive_Oil_500ml_1x1_228x128_485ea2e082.jpg
pantry just-organic,Just Organic Free Range Eggs 6 Pack 300g  ,$3.99,$1.33 per 100g,300g,https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_ALN2670_Q1_WEB_AUDIT__DAIRY_EGGS__1x1_228x128_5_34abfa032d.jpg
pantry chocolate,Choceur Caramel Filled Milk Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_3_e67dcf7a07.jpg
pantry chocolate,Choceur Milk & White Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_4_78dbbba64b.jpg
pantry chocolate,Choceur Salted Pretzel Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/4/f/csm_ALN2460_Q3_WEB_AUDIT_Chocolate__1x1_228x128_5_659698b53b.jpg
pantry chocolate,Choceur Coffee & Cream Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/a/0/csm_ALN1075_1x1_CHOCOLATE_228x128_3_4821d9e789.jpg
pantry chocolate,Choceur Dark Hazelnut Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/2/a/csm_ALN1075_1x1_CHOCOLATE_228x128__eb415d998d.jpg
pantry chocolate,Choceur Fruit & Nut Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/1/0/csm_ALC7929_Choceur_Range_1x1_228x128_2_94a3b1e04e.jpg
pantry chocolate,Choceur White Chocolate Block 200g ,$2.99,$1.50 per 100g,200g,https://www.aldi.com.au/fileadmin/_processed_/c/f/csm_ALC7929_Choceur_Range_1x1_228x128_4_d70e55dc3a.jpg
